,mean,std,count
0.02-0.03,1.2538535080304312,0.1778455128024395,4732
0.03-0.03,1.333682831858407,0.16735623756457557,4520
0.03-0.04,1.3653406494040279,0.17383042939268853,4866
0.04-0.04,1.4020065478496706,0.17574018394545948,5162
0.04-0.04,1.4274488821752267,0.18191391522058054,3310
0.04-0.04,1.4859095928872252,0.15949552534147524,4274
0.04-0.05,1.5080238051044084,0.14315813704365288,4310
0.05-0.07,1.6413350491343004,0.13185896344743545,4274
