,mean,std,count
350.00-425.00,1.5791695749943784,0.1647323534068738,8894
425.00-550.00,1.335654368391764,0.19377869148455798,10782
550.00-600.00,1.4071801249163507,0.1326549613324714,8966
600.00-700.00,1.3524189946619218,0.22532345008090907,4496
700.00-750.00,1.423920432900433,0.14603606055077523,2310
