,mean,std,count
60.00-65.00,1.5410603422619047,0.16743160362276302,13440
65.00-70.00,1.3100930658525949,0.1988816285765904,4586
70.00-75.00,1.4051299181669394,0.16130437191201846,6110
75.00-85.00,1.3282751289050652,0.21389142301751624,6594
85.00-90.00,1.3498814752013564,0.10737493889566446,4718
