,mean,std,count
40.00-50.00,1.5791695749943784,0.1647323534068738,8894
50.00-55.00,1.2672597852760734,0.19949159450440723,6520
55.00-60.00,1.4071801249163507,0.1326549613324714,8966
60.00-65.00,1.440284279680901,0.12654606941831023,4262
65.00-75.00,1.3524189946619218,0.22532345008090907,4496
75.00-80.00,1.423920432900433,0.14603606055077523,2310
