,0
K2O,0.3697877436157162
Deep_Soil_,0.2550234973813499
MO_PERC,0.166185590858375
Top_Soil_E,0.11714547260340949
MgO,0.029397772461819044
CaO,0.027561797373354506
P2O5,0.024622255883175
PH_H2O,0.01027586982280093
