,PC1,PC2
PH_H2O,-0.2960194899735314,0.8495827535555921
MO_PERC,0.8813131602334299,0.3130548006461102
P2O5,-0.6737529608794428,-0.5184614832120115
K2O,0.9008786564491793,0.22509687059903544
CaO,-0.8661683657653542,0.410532679969357
MgO,-0.7952694842824205,0.5559879375266432
Top_Soil_E,0.3917444861927423,0.262342374822726
Deep_Soil_,0.5003219987459245,0.2367940931116055
