task,model,R2,RMSE,MAE
yield_kgm2,LM,0.186590168925042,0.18808699704368373,0.14826122172770945
yield_kgm2,IDW,0.7339536549355927,0.1075679055539289,0.08379700000499947
yield_kgm2,OK,0.7364625331526273,0.10705950909748112,0.08333577222872572
yield_kgm2,RF,0.7151000644972345,0.11131411544967262,0.08619257085038803
yield_kgm2,RFK,0.7247130322193323,0.10942004528709791,0.0845840170871798
yield_kgm2,SRK,0.709191639099228,0.1124624417103633,0.08705949952215593
npk_ppm,LM,0.18940877798592204,22.815663831582114,17.589000017393413
npk_ppm,IDW,0.7283533569182776,13.20791703753509,9.942062621872665
npk_ppm,OK,0.7096628387623847,13.654741227176373,10.25398812393071
npk_ppm,RF,0.70343797974211,13.800344467003688,10.322162132445982
npk_ppm,RFK,0.7059307235868961,13.742222867862388,10.267501719067697
npk_ppm,SRK,0.6856324184072422,14.208591818770415,10.609589270018096
soil_ph,LM,0.3074790638926438,0.0417493314037313,0.03199816002347487
soil_ph,IDW,0.9942222234327142,0.003813409487681514,0.002557006544246574
soil_ph,OK,0.9997677788063597,0.0007645114561487928,0.00037396063051377276
soil_ph,RF,0.9606631180865393,0.00995022811158342,0.006634961339718116
soil_ph,RFK,0.9926054577636428,0.004314085202467744,0.0027117666744567374
soil_ph,SRK,0.9867857753948289,0.005767052610375911,0.0037784909769708933
caco3_ppm,LM,0.3055949003665378,234.5237966890867,181.69682531270175
caco3_ppm,IDW,0.9942475917777543,21.345449989564212,14.58704104119704
caco3_ppm,OK,0.999758526899411,4.373356137127075,2.193599246457761
caco3_ppm,RF,0.9612756528929787,55.382495091277484,37.30541621014037
caco3_ppm,RFK,0.9930731375418126,23.42333596755664,15.226956207475817
caco3_ppm,SRK,0.9804673815145523,39.33332850305543,27.071588692130806
